iter	Logloss
0	0.6141968891
1	0.5459127413
2	0.4833980116
3	0.4445684431
4	0.4037205409
5	0.367978207
6	0.3423579563
7	0.3125190318
8	0.2861084386
9	0.2679816517
10	0.2481459033
11	0.2345752371
12	0.2218744379
13	0.2055531913
14	0.1935645299
15	0.1803249858
16	0.1727376927
17	0.1653900241
18	0.1592769909
19	0.1490677605
20	0.1436424586
21	0.1358871671
22	0.1301406756
23	0.1251857166
24	0.1215811969
25	0.1163967056
26	0.1109634757
27	0.1069680199
28	0.1019353058
29	0.09813702228
30	0.094885681
31	0.09124310226
32	0.08798162077
33	0.08514771271
34	0.08243875582
35	0.0778278688
36	0.0744544098
37	0.07214913238
38	0.06953094981
39	0.06761689698
40	0.06395619403
41	0.06145347649
42	0.05891938025
43	0.05611533858
44	0.05440073895
45	0.0523596796
46	0.050380801
47	0.04746347492
48	0.04534148837
49	0.0434057967
50	0.04186848976
51	0.04056787945
52	0.03872735512
53	0.03749635789
54	0.03619472272
55	0.03542687947
56	0.03406717847
57	0.0330078776
58	0.03211572679
59	0.03120236582
60	0.02992269635
61	0.02881746583
62	0.02796738651
63	0.02734530093
64	0.02668357214
65	0.02572113404
66	0.02501786997
67	0.02424921393
68	0.02372306138
69	0.0230458378
70	0.02205108233
71	0.02140160376
72	0.02076747851
73	0.02016057144
74	0.01922067602
75	0.01859109071
76	0.01784633833
77	0.01733814625
78	0.01671361408
79	0.01595985359
80	0.01545483245
81	0.01480746087
82	0.0144314875
83	0.01394074027
84	0.01363222451
85	0.01320958047
86	0.0129251783
87	0.01252460752
88	0.01217944346
89	0.01173065881
90	0.01150275276
91	0.01114036834
92	0.01081221773
93	0.01058214592
94	0.01028741239
95	0.009918744864
96	0.009694363595
97	0.009407095564
98	0.009112951868
99	0.008877698166
100	0.008669504822
101	0.008403730817
102	0.008221722619
103	0.008065358808
104	0.007758473502
105	0.007580720485
106	0.007329333389
107	0.007178025446
108	0.007010244808
109	0.006810149516
110	0.006655001731
111	0.00644836341
112	0.006320671023
113	0.006175515309
114	0.005988237061
115	0.005855549397
116	0.005673868683
117	0.00556270231
118	0.005450848552
119	0.005343246642
120	0.005196399883
121	0.005108754244
122	0.004959875625
123	0.00480451911
124	0.004682882617
125	0.004614504653
126	0.004452189466
127	0.00434450879
128	0.004273309792
129	0.004175048317
130	0.004095114777
131	0.004032286483
132	0.003937980877
133	0.003891859454
134	0.003757268077
135	0.003693969004
136	0.003602036679
137	0.003522744779
138	0.003444288101
139	0.00335976099
140	0.003267531171
141	0.003185427628
142	0.003142676784
143	0.003071258756
144	0.002997385956
145	0.002943769343
146	0.002903892246
147	0.002852708897
148	0.002802429236
149	0.002763545498
150	0.002725392466
151	0.002673140323
152	0.002614221852
153	0.002570426752
154	0.002539996119
155	0.002479437043
156	0.00243689099
157	0.002385454832
158	0.002351940511
159	0.002316579734
160	0.002282594029
161	0.002231745435
162	0.002180377289
163	0.002147999319
164	0.002107282454
165	0.002078201901
166	0.002036986236
167	0.001990151072
168	0.001960134415
169	0.001938580861
170	0.001905899187
171	0.001873239629
172	0.001834748206
173	0.001810716401
174	0.001789326286
175	0.00176710004
176	0.001745836859
177	0.001714533893
178	0.001694005811
179	0.001666344863
180	0.001633103951
181	0.001607987296
182	0.001580107015
183	0.001545248068
184	0.001514809104
185	0.001494261179
186	0.001474288095
187	0.001447707604
188	0.001416521575
189	0.001393321357
190	0.001369304245
191	0.001350139572
192	0.001325021705
193	0.001301826788
194	0.00128257926
195	0.00126774611
196	0.00125403068
197	0.001236419363
198	0.001223139796
199	0.001201674475
200	0.001190397912
201	0.001167609095
202	0.00114860415
203	0.001135044283
204	0.001122064633
205	0.001102030353
206	0.001092055853
207	0.001079186702
208	0.001065493387
209	0.001057357088
210	0.001043580084
211	0.001030356942
212	0.001015650348
213	0.001005260432
214	0.0009920456206
215	0.0009771487764
216	0.000967791756
217	0.0009543951766
218	0.0009543951766
219	0.0009418085236
220	0.000924065728
221	0.0009143357053
222	0.0009027910354
223	0.0008904718838
224	0.0008904718838
225	0.0008800537189
226	0.0008800537189
227	0.0008703798169
228	0.0008568578936
229	0.0008568578936
230	0.0008568578936
231	0.0008568578936
232	0.0008465237963
233	0.0008319525434
234	0.0008226852708
235	0.0008226852708
236	0.0008107104174
237	0.0008003755628
238	0.0007909662842
239	0.0007909677232
240	0.0007803805144
241	0.0007803805144
242	0.0007685525899
243	0.0007685430471
244	0.0007685430471
245	0.0007685430471
246	0.0007685503178
247	0.0007582779458
248	0.0007582779458
249	0.0007582779458
250	0.0007582779458
251	0.0007582779458
252	0.0007582779458
253	0.0007513291954
254	0.0007418418324
255	0.0007418418324
256	0.0007418418324
257	0.0007418418324
258	0.0007418418324
259	0.0007337068966
